game_date_est,Start (ET),team_abbreviation_away,away_full_name (depr),away_full_name,away_city,team_nickname_away,team_wins_losses_away,pts_away,team_abbreviation_home,home_full_name (depr),home_full_name,home_city,team_nickname_home,team_wins_losses_home,pts_home,,,Attend.,Arena,Notes
2023-03-21,10:00p,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,50-23,132,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,43-29,109,Box Score,,18111,Golden 1 Center,
2023-03-21,10:30p,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,36-36,101,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,38-35,100,Box Score,,19068,Crypto.com Arena,
2023-03-22,7:00p,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,49-24,118,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,32-41,104,Box Score,,16508,Capital One Arena,
2023-03-22,7:30p,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,38-36,127,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,36-37,125,Box Score,,20377,American Airlines Center,
2023-03-22,7:30p,NYK,NewYork Knicks,New York Knicks,NewYork,Knicks,42-32,120,MIA,Miami Heat,Miami Heat,Miami,Heat,40-34,127,Box Score,,19863,FTX Arena,
2023-03-22,7:30p,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,33-40,118,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,35-38,114,Box Score,,19800,Scotiabank Arena,
2023-03-22,8:00p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,49-23,116,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,34-38,91,Box Score,,20946,United Center,
2023-03-22,8:00p,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,18-55,125,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,45-27,130,Box Score,,17794,FedEx Forum,
2023-03-22,8:00p,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,19-54,94,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,52-20,130,Box Score,,17756,Fiserv Forum,
2023-03-22,8:00p,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,36-37,124,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,37-37,125,Box Score,,17136,Target Center,
2023-03-22,9:00p,POR,Portland TrailBlazers,Portland Trail Blazers,Portland,Trail Blazers,32-40,127,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,35-37,115,Box Score,,,Vivint Arena,
2023-03-22,10:00p,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,38-34,111,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,36-37,122,Box Score,,18435,Crypto.com Arena,
2023-03-23,7:00p,NYK,NewYork Knicks,New York Knicks,NewYork,Knicks,42-33,106,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,31-43,111,Box Score,,17607,Amway Center,
2023-03-23,7:30p,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,47-28,116,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,39-34,114,Box Score,,17732,Barclays Center,
2023-03-23,8:00p,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,23-51,96,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,36-37,115,Box Score,,15749,Smoothie King Center,
2023-03-23,10:30p,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,36-37,105,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,39-35,127,Box Score,,17307,Crypto.com Arena,
2023-03-24,7:00p,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,33-41,95,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,51-23,120,Box Score,,19156,TD Garden,
2023-03-24,7:00p,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,19-55,124,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,33-41,136,Box Score,,17004,Capital One Arena,
2023-03-24,7:30p,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-58,97,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,36-38,118,Box Score,,19800,Scotiabank Arena,
2023-03-24,8:00p,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,18-56,114,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,46-27,151,Box Score,,17851,FedEx Forum,
2023-03-24,8:30p,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,24-51,117,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,36-38,109,Box Score,,20347,American Airlines Center,
2023-03-24,9:00p,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,53-20,144,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,35-38,116,Box Score,,18206,Vivint Arena,
2023-03-24,10:00p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,49-24,112,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,39-36,120,Box Score,,18064,Chase Center,
2023-03-24,10:00p,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,35-38,124,POR,PortlandTrail Blazers,Portland Trail Blazers,Portland Trail,Blazers,32-41,96,Box Score,,19393,Moda Center,
2023-03-24,10:00p,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,38-35,127,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,44-29,135,Box Score,,18151,Golden 1 Center,
2023-03-24,10:30p,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,36-38,111,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,37-37,116,Box Score,,18997,Crypto.com Arena,
2023-03-25,5:00p,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,33-42,130,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,37-37,143,Box Score,,17699,State Farm Arena,
2023-03-25,8:00p,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,40-34,129,MIA,Miami Heat,Miami Heat,Miami,Heat,40-35,100,Box Score,,19680,FTX Arena,
2023-03-25,9:00p,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,53-21,106,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,50-24,129,Box Score,,19919,Ball Arena,
2023-03-25,10:00p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,49-25,105,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,39-35,125,Box Score,,17071,Footprint Center,
2023-03-25,10:00p,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,35-39,113,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,45-29,121,Box Score,,18151,Golden 1 Center,
2023-03-25,10:30p,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,37-37,131,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,39-36,110,Box Score,,17702,Crypto.com Arena,
2023-03-26,1:00p,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,36-39,104,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,25-51,110,Box Score,,19264,Spectrum Center,
2023-03-26,3:30p,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,36-38,118,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,37-38,108,Box Score,,18997,Crypto.com Arena,
2023-03-26,6:00p,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,47-27,123,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,37-38,119,Box Score,,18056,State Farm Arena,
2023-03-26,6:00p,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,19-56,93,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,52-23,137,Box Score,,19156,TD Garden,
2023-03-26,6:00p,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,18-57,91,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,48-28,108,Box Score,,19432,Rocket Mortgage Fieldhouse,
2023-03-26,6:00p,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,40-35,106,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,32-43,119,Box Score,,17862,Amway Center,
2023-03-26,6:00p,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,33-42,104,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,37-38,114,Box Score,,19800,Scotiabank Arena,
2023-03-26,7:00p,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,37-38,118,POR,PortlandTrail Blazers,Portland Trail Blazers,Portland Trail,Blazers,32-42,112,Box Score,,18626,Moda Center,
